'STFIRM';'STANWS';'STYGJA';'STPKNR';'STIDNR';'MENGE'
'W01';'VKS';111;'1263736';'DIRI067';14,000
'W01';'VKS';111;'1263736';'DIRI113';18,000
'W01';'VKS';111;'1263736';'KART013';32,000
'W01';'VKS';111;'1263736';'KART072';28,000
'W01';'VKS';111;'1263736';'VERPSET013';39,000
'W01';'VKS';111;'1263736';'000FILT010';10,000
'W01';'VKS';111;'1263736';'100COMPD';261,000
'W01';'VKS';111;'1263736';'100FILTAB';18,000
'W01';'VKS';111;'1263736';'100MKT';95,000
'W01';'VKS';111;'1263736';'100QAK3WIX001';87,000
'W01';'VKS';111;'1263736';'100QAZ903WIX100';25,000
'W01';'VKS';111;'1263736';'100QAZ903WIX151';11,000
'W01';'VKS';111;'1263736';'100QIV3WIX';215,000
'W01';'VKS';111;'1263736';'100QPSK3W';1350,000
'W01';'VKS';111;'1263736';'100QSD3W0500';95,000
'W01';'VKS';111;'1263736';'100QUADRO3WPP';1580,000
'W01';'VKS';111;'1263736';'100QUADRO3WV';129,000
'W01';'VKS';111;'1263736';'100QUADRO3WV15';1995,000
'W01';'VKS';111;'1263736';'100QUG3WIX';53,000
'W01';'VKS';111;'1263736';'100QUL903WIX';83,000
'W01';'VKS';111;'1263736';'100QUL903WIX125';109,000
'W01';'VKS';111;'1263736';'100QUL903WK';25,000
'W01';'VKS';111;'1263736';'100QUL903WK125';125,000
'W01';'VKS';111;'1263736';'100QWI90B3WIX01';10,000
'W01';'VKS';111;'1263736';'100QWI90S3WIX01';11,000
'W01';'VKS';111;'1263736';'100TPV';25,000
'W01';'VKS';111;'1263736';'100ULC';90,000
'W01';'VKS';111;'1263736';'100URH';20,000
'W01';'VKS';111;'1263736';'113AH';28,000
'W01';'VKS';111;'1263736';'113EW';37,000
'W01';'VKS';111;'1263736';'113L1000';85,000
'W01';'VKS';111;'1263736';'113L500';18,000
'W01';'VKS';111;'1263736';'113SB';90,000
'W01';'VKS';111;'1263736';'113WDS';37,000
'W01';'VKS';111;'1263736';'120L1000';28,000
'W01';'VKS';111;'1263736';'120L500';13,000
'W01';'VKS';111;'1263736';'120SB';15,000
'W01';'VKS';111;'1263736';'125COMPD';97,000
'W01';'VKS';111;'1263736';'125FILTAB';65,000
'W01';'VKS';111;'1263736';'125RED3WIX151';10,000
'W01';'VKS';111;'1263736';'125ULC';97,000
'W01';'VKS';111;'1263736';'125URH';145,000
'W01';'VKS';111;'1263736';'130AH';81,000
'W01';'VKS';111;'1263736';'130AP500';26,000
'W01';'VKS';111;'1263736';'130DL1000';53,000
'W01';'VKS';111;'1263736';'130DL500';13,000
'W01';'VKS';111;'1263736';'130FK';32,000
'W01';'VKS';111;'1263736';'130L1000';184,000
'W01';'VKS';111;'1263736';'130L250';10,000
'W01';'VKS';111;'1263736';'130L500';55,000
'W01';'VKS';111;'1263736';'130ME';12,000
'W01';'VKS';111;'1263736';'130MFSWG';13,000
'W01';'VKS';111;'1263736';'130PDUG';26,000
'W01';'VKS';111;'1263736';'130SB';325,000
'W01';'VKS';111;'1263736';'130SS';47,000
'W01';'VKS';111;'1263736';'130WDS';160,000
'W01';'VKS';111;'1263736';'130WH';20,000
'W01';'VKS';111;'1263736';'130WHV200';17,000
'W01';'VKS';111;'1263736';'140EBSSO';24,000
'W01';'VKS';111;'1263736';'150šGIE';31,000
'W01';'VKS';111;'1263736';'150AH';47,000
'W01';'VKS';111;'1263736';'150AP500';13,000
'W01';'VKS';111;'1263736';'150AZ90B3WIX151';29,000
'W01';'VKS';111;'1263736';'150COMPD';76,000
'W01';'VKS';111;'1263736';'150DL1000';154,000
'W01';'VKS';111;'1263736';'150DL500';35,000
'W01';'VKS';111;'1263736';'150FK';20,000
'W01';'VKS';111;'1263736';'150F90';20,000
'W01';'VKS';111;'1263736';'150GI';22,000
'W01';'VKS';111;'1263736';'150L1000';140,000
'W01';'VKS';111;'1263736';'150L250';12,000
'W01';'VKS';111;'1263736';'150L500';11,000
'W01';'VKS';111;'1263736';'150ME';24,000
'W01';'VKS';111;'1263736';'150MFSWG';16,000
'W01';'VKS';111;'1263736';'150P';26,000
'W01';'VKS';111;'1263736';'150QPSK3W';70,000
'W01';'VKS';111;'1263736';'150QRED3WIX151';12,000
'W01';'VKS';111;'1263736';'150QSILA3W1000';24,000
'W01';'VKS';111;'1263736';'150QUADRO3WV';69,000
'W01';'VKS';111;'1263736';'150QUG3WIX';37,000
'W01';'VKS';111;'1263736';'150RBV';10,000
'W01';'VKS';111;'1263736';'150SB';150,000
'W01';'VKS';111;'1263736';'150SS';98,000
'W01';'VKS';111;'1263736';'150TPUG';10,000
'W01';'VKS';111;'1263736';'150WDS';78,000
'W01';'VKS';111;'1263736';'150WH';80,000
'W01';'VKS';111;'1263736';'150WHV200';35,000
'W01';'VKS';111;'1263736';'150WHV350';36,000
'W01';'VKS';111;'1263736';'150180B45WK';16,000
'W01';'VKS';111;'1263736';'150180B90WK';138,000
'W01';'VKS';111;'1263736';'150180LWK';54,000
'W01';'VKS';111;'1263736';'150180STMWK';245,000
'W01';'VKS';111;'1263736';'151ADBL001';74,000
'W01';'VKS';111;'1263736';'151QAZ90B3WI151';10,000
'W01';'VKS';111;'1263736';'151QAZ903WIX100';10,000
'W01';'VKS';111;'1263736';'151QAZ903WIX151';24,000
'W01';'VKS';111;'1263736';'151QFIX3WV';24,000
'W01';'VKS';111;'1263736';'151QIV3WIX';88,000
'W01';'VKS';111;'1263736';'151QPSK3W';160,000
'W01';'VKS';111;'1263736';'151QUADRO3WV';615,000
'W01';'VKS';111;'1263736';'151QUG3WIX';52,000
'W01';'VKS';111;'1263736';'151QVLK3WIX';37,000
'W01';'VKS';111;'1263736';'151QVLK3WIX001';61,000
'W01';'VKS';111;'1263736';'151QVLK3WIX003';13,000
'W01';'VKS';111;'1263736';'151QWI90B3WIX01';36,000
'W01';'VKS';111;'1263736';'151QWI90S3WIX01';31,000
'W01';'VKS';111;'1263736';'160AH';17,000
'W01';'VKS';111;'1263736';'160COMPD';78,000
'W01';'VKS';111;'1263736';'160EBSSO';10,000
'W01';'VKS';111;'1263736';'160SB';10,000
'W01';'VKS';111;'1263736';'180AH';24,000
'W01';'VKS';111;'1263736';'180DL1000';21,000
'W01';'VKS';111;'1263736';'180L1000';52,000
'W01';'VKS';111;'1263736';'180L500';21,000
'W01';'VKS';111;'1263736';'180ME';11,000
'W01';'VKS';111;'1263736';'180SB';73,000
'W01';'VKS';111;'1263736';'180SS';10,000
'W01';'VKS';111;'1263736';'180WDS';26,000
'W01';'VKS';111;'1263736';'180WH';15,000
'W01';'VKS';111;'1263736';'190SB';24,000
'W01';'VKS';111;'1263736';'20KA';54,000
'W01';'VKS';111;'1263736';'200AH';11,000
'W01';'VKS';111;'1263736';'200COMPD';40,000
'W01';'VKS';111;'1263736';'200DDF003';16,000
'W01';'VKS';111;'1263736';'200LE008';12,000
'W01';'VKS';111;'1263736';'200L1000';19,000
'W01';'VKS';111;'1263736';'200QSILA3W1000';12,000
'W01';'VKS';111;'1263736';'200RED3WIX151';22,000
'W01';'VKS';111;'1263736';'200SB';42,000
'W01';'VKS';111;'1263736';'210ROS';24,000
'W01';'VKS';111;'1263736';'210SB';76,000
'W01';'VKS';111;'1263736';'240SB';12,000
'W01';'VKS';111;'1263736';'250COMPD';10,000
'W01';'VKS';111;'1263736';'250DL1000';21,000
'W01';'VKS';111;'1263736';'250SS';22,000
'W01';'VKS';111;'1263736';'280L1000';11,000
'W01';'VKS';111;'1263736';'280SB';15,000
'W01';'VKS';111;'1263736';'300LGIX101';81,000
'W01';'VKS';111;'1263736';'300LGIX401';18,000
'W01';'VKS';111;'1263736';'300WAC';13,000
'W01';'VKS';111;'1263736';'40EH';11,000
'W01';'VKS';111;'1263736';'40RS';40,000
'W01';'VKS';111;'1263736';'400FILT001';39,000
'W01';'VKS';111;'1263736';'400FILT002';25,000
